id_produto,nome,descricao,preco
1,Guarda-Chuva Clássico Preto,Guarda-chuva resistente com cabo de madeira,R$ 49.90
2,Guarda-Chuva Automático Azul,Abertura automática, compacto,R$ 59.90
3,Guarda-Chuva Transparente Cristal,Estilo moderno, proteção total,R$ 39.90
4,Guarda-Chuva Estampado Floral,Design floral colorido,R$ 54.50
5,Guarda-Chuva Premium Executivo,Reforçado, tecido impermeável,R$ 89.90
6,Guarda-Chuva Infantil Dinossauro,Estampa divertida para crianças,R$ 34.90
7,Guarda-Chuva Compacto Vermelho,Cabe em bolsas pequenas,R$ 44.90
8,Guarda-Chuva XLarge Tempestade,Grande cobertura, ideal para chuva forte,R$ 99.00
9,Guarda-Chuva Retrátil Cinza,Fechamento rápido, leve,R$ 42.00
10,Guarda-Chuva Anti-Vento Preto,Estrutura reforçada contra vento,R$ 79.90
11,Guarda-Chuva Colorido Arco-Íris,Design divertido multicolorido,R$ 55.90
12,Guarda-Chuva Dobrável Rosa,Compacto, tecido resistente,R$ 48.00
13,Guarda-Chuva Luxo Dourado,Detalhes sofisticados,R$ 120.00
14,Guarda-Chuva Eco-Friendly Verde,Feito com materiais reciclados,R$ 65.90
15,Guarda-Chuva Gigante Duplo,Espaço para duas pessoas,R$ 110.00
16,Guarda-Chuva Estampado Galáxia,Estampa espacial exclusiva,R$ 70.00
17,Guarda-Chuva Esportivo Azul Marinho,Leve e resistente,R$ 58.00
18,Guarda-Chuva Infantil Princesa,Design temático infantil,R$ 37.50
19,Guarda-Chuva Elegante Bordeaux,Estilo clássico com acabamento premium,R$ 95.00
20,Guarda-Chuva Automático Preto Fosco,Abertura rápida, design minimalista,R$ 60.00
